"cell_type","MS4A1","CD14","LYZ","IL7R","CD3E","CD8A","FCER1A","CST3","FCGR3A","PPBP","GNLY","NKG7","UMAP1","UMAP2"
"CD14+ Monocytes",0,2.47348003512333,4.87797158317698,0,0,1.86125918309788,0,4.27128774883291,0,0,0,0,-1.5204362869263,2.9662709236145
"CD4 T cells",0,0,2.11906178912578,2.11906178912578,0,0,0,0,0,0,0,0,5.11562633514404,0.858865261077881
"B cells",1.89026687629295,0,2.88275428559877,0,0,0,0,1.89026687629295,0,0,1.89026687629295,0,2.48919439315796,-8.9543561935425
"CD4 T cells",0,0,0,2.23433661255518,2.23433661255518,0,0,0,0,0,0,0,3.18441009521484,2.04142761230469
"CD4 T cells",0,0,1.84134927991218,0,2.45187364974288,0,0,1.84134927991218,0,0,0,0,3.33441019058228,0.544201970100403
"CD4 T cells",0,0,0,2.42844754730691,2.06612507258977,0,0,0,0,0,0,0,3.16180419921875,-0.423836827278137
"CD14+ Monocytes",0,3.19930879591884,5.16150858428519,0,0,0,0,4.13881421692129,0,0,0,0,-2.841402053833,1.71260821819305
"CD14+ Monocytes",0,0,5.037350085029,0,0,0,0,4.05507244941077,0,0,0,0,-2.0638303756714,2.75091028213501
"CD14+ Monocytes",0,0,3.3370869311085,0,0,0,0,3.73063452742769,0,0,0,0,-2.0661678314209,3.96800804138184
"CD14+ Monocytes",0,0,5.15700009841472,0,0,0,0,3.70967760165162,0,2.65887483659063,0,0,-1.7004823684692,4.03890180587769
"CD4 T cells",0,0,1.62563259835408,0,2.85223888820072,0,0,0,0,0,0,1.62563259835408,4.54379987716675,-1.25185525417328
"B cells",3.08642460696699,0,1.82851888617573,0,0,0,0,0,0,0,0,0,2.77484321594238,-9.0805578231812
"CD4 T cells",0,0,0,0,0,0,0,0,0,0,0,0,3.89510869979858,3.00550413131714
"CD14+ Monocytes",0,1.73762719249798,5.10554797811874,0,0,0,0,3.96123685589766,0,0,0,0,-1.4180488586426,3.20530796051025
"CD14+ Monocytes",0,3.07630929159823,5.43136425389493,0,0,0,0,3.74612172621509,1.6362062807501,0,0,1.6362062807501,-2.5259466171265,1.24544286727905
"CD14+ Monocytes",0,0,5.5719482456346,0,0,0,0,4.20776405405387,0,0,1.35545523471955,0,-3.6113882064819,1.25055825710297
"CD8 T cells",0,0,2.1065965598764,2.94709552721833,2.1065965598764,0,0,0,0,0,3.39721835669806,2.94709552721833,7.53329352289438,0.237187251448631
"CD4 T cells",0,0,1.6735161717558,0,1.6735161717558,0,0,0,1.6735161717558,0,0,0,5.33936381340027,-0.334946006536484
"CD4 T cells",0,0,2.49039384225707,2.49039384225707,2.12553181809693,0,0,0,0,0,0,0,3.71590995788574,-1.20691418647766
"FCGR3A+ Monocytes",0,1.07301650392516,3.85398043305063,1.07301650392516,1.07301650392516,0,0,4.80585365097355,1.91287931567297,0,1.07301650392516,0,-4.8950691223145,1.33257377147675
"CD4 T cells",0,0,0,1.48984912367515,2.063420415282,0,0,1.48984912367515,0,0,0,1.48984912367515,4.75714945793152,-1.2448798418045
"CD4 T cells",0,0,1.54776722184278,3.29237665493943,1.54776722184278,0,0,0,0,0,0,0,4.00903511047363,0.546054005622864
"CD14+ Monocytes",0,0,3.78163585269217,0,0,0,0,4.68416104027838,0,0,0,0,-2.650598526001,3.93147349357605
"CD4 T cells",0,0,0,0,0,0,0,0,0,0,0,3.56347818757266,5.66375064849854,2.3174307346344
"CD8 T cells",2.24709742362055,0,0,1.65443392472602,2.61669159440174,2.24709742362055,0,1.65443392472602,0,0,0,2.88594384543757,7.87357386946678,1.0394024848938
"NK cells",0,0,0,0,0,1.82983567764063,0,0,3.08792165704797,0,4.79872701211728,4.70853970994768,10.7937033176422,1.24249804019928
"CD4 T cells",0,0,0,1.97965568232051,1.41588345537646,0,0,0,0,0,0,0,5.54038238525391,0.950218081474304
"CD4 T cells",0,0,0,2.41072065929993,2.78581226358333,0,0,0,0,0,0,0,2.94831991195679,1.08303737640381
"CD8 T cells",0,0,0,2.05210381241253,0,0,2.05210381241253,2.05210381241253,0,0,2.05210381241253,2.6788631072448,8.77452051639557,0.439253211021423
"B cells",1.77244035960556,0,2.75082826856227,0,0,0,0,1.77244035960556,0,0,0,0,2.23308801651001,-8.9732990264893
"B cells",2.53698058623264,0,0,0,0,0,0,0,0,0,0,0,1.83418464660645,-7.6997594833374
"B cells",3.3703906100194,0,0,0,0,0,0,0,0,0,2.71104197595903,0,1.62595748901367,-7.8278303146362
"NK cells",0,0,1.88078382714939,0,0,0,0,1.88078382714939,3.14564146083117,0,4.72004119753745,5.01783186756601,10.579788684845,1.78396594524384
"B cells",2.83020667073977,0,0,0,0,0,0,0,0,0,0,0,2.70733785629272,-8.0281591415405
"FCGR3A+ Monocytes",1.32445712887098,0,4.36034347959764,0,1.87491840179868,0,1.32445712887098,4.36034347959764,2.48828212228652,0,0,1.32445712887098,-4.8081636428833,1.92660510540009
"CD4 T cells",0,0,2.0727764476327,2.0727764476327,1.49815506628049,0,0,0,0,0,0,1.49815506628049,5.6135493516922,0.462466537952423
"CD4 T cells",0,0,1.65993020467406,2.62298829326773,2.62298829326773,0,0,0,0,0,0,0,4.31306862831116,0.992575407028198
"B cells",1.9945923276947,0,0,0,0,0,0,0,0,0,0,0,3.32399559020996,-7.9909038543701
"CD4 T cells",0,0,0,1.37522235501567,1.93324637281268,1.93324637281268,0,1.37522235501567,0,0,0,0,2.30295705795288,-0.149163901805878
"CD4 T cells",0,0,0,2.52950901854903,2.16311948853865,0,0,0,0,0,0,0,2.27326917648315,0.0993003249168396
"NK cells",0,0,0,0,2.64905040833871,0,0,0,3.03066045531386,0,5.32144470229732,4.2002502643242,10.7276799678802,1.20672976970673
"CD4 T cells",1.10925785477444,0,1.6221990596412,1.6221990596412,2.72292246317371,0,0,1.10925785477444,0,0,0,1.10925785477444,2.87671518325806,-0.965178847312927
"CD4 T cells",0,0,0,0,1.66234886396227,0,0,0,0,0,0,0,2.83105897903442,0.606178164482117
"CD4 T cells",0,0,2.31656371763325,1.71746397656373,2.31656371763325,0,0,0,0,0,0,0,4.60455226898193,0.310871869325638
"CD4 T cells",0,0,0,2.51059203726549,2.8886105296135,0,0,0,0,0,0,0,2.42807006835938,0.228680625557899
"NK cells",0,0,1.80267569149187,0,0,0,0,0,3.05698843796394,0,4.12374596625569,4.40737388751342,10.1626491546631,1.24716866016388
"CD14+ Monocytes",0,1.46864903036578,4.82594651101858,1.46864903036578,0,0,0,4.11382919165635,0,0,0,0,-3.6607646942139,0.950932085514069
"B cells",2.10977392952907,0,2.10977392952907,0,0,0,0,2.74037240642779,0,0,0,0,1.71776485443115,-8.7612953186035
"B cells",0,0,2.05033202914929,2.05033202914929,2.67696959153291,0,0,2.05033202914929,0,0,0,0,1.8629937171936,-7.4752931594849
"B cells",2.52104952205033,0,0,0,0,0,0,0,0,0,1.57150393782054,1.57150393782054,3.60340809822083,-9.0581865310669
"CD4 T cells",0,0,0,2.43554962357565,2.43554962357565,0,0,1.82632954847501,0,0,0,0,3.38623714447021,0.609083712100983
"CD14+ Monocytes",0,1.97136480093404,3.87916093717173,0,0,0,0,4.37306093428177,0,0,0,0,-4.1091003417969,1.26749587059021
"B cells",2.10028024742432,0,0,0,0,0,0,2.10028024742432,0,0,0,0,2.33437156677246,-8.1856994628906
"CD4 T cells",0,0,2.63012732415973,2.89962778695522,1.66616704959864,0,0,0,0,0,1.66616704959864,0,4.41637086868286,0.250901997089386
"CD4 T cells",0,0,1.72538364625109,3.18110638851382,0,0,0,0,0,0,0,0,3.82255244255066,-0.0857541561126709
"CD14+ Monocytes",0,3.16445076684326,5.8541965632819,0,2.14693417019908,0,0,4.43253400049699,0,0,0,0,-1.5429315567017,1.98547410964966
"CD14+ Monocytes",1.62236216341504,2.21157459936603,4.74337559769665,0,0,0,0,3.90762309610554,0,0,0,0,-3.9299411773682,2.3034839630127
"CD14+ Monocytes",0,2.03804222210607,5.39949089133019,0,0,0,0,4.54815469761276,0,0,0,0,-3.8440179824829,2.03683710098267
"CD4 T cells",0,0,0,1.59707348448586,1.59707348448586,0,0,1.59707348448586,0,0,0,1.59707348448586,2.84403324127197,0.587618827819824
"B cells",1.7022571258035,0,1.7022571258035,0,0,0,0,0,0,0,0,0,3.70761227607727,-8.5256547927856
"CD4 T cells",0,0,1.59613183935357,1.59613183935357,0,0,0,1.59613183935357,0,0,0,0,1.84494733810425,0.936532080173492
"CD4 T cells",0,0,1.61554578322665,2.57199359828721,2.20400880331221,0,0,0,0,0,0,0,4.49080634117126,-0.844360530376434
"CD8 T cells",0,0,0,0,3.35781769306913,2.32651099002087,0,0,0,0,0,3.63675888894269,6.08274042606354,1.53290295600891
"B cells",2.55759638315628,0,2.55759638315628,0,0,0,0,0,0,0,0,0,2.12973260879517,-8.8958969116211
"CD4 T cells",0,0,2.01066810647351,3.01577584790005,2.01066810647351,0,0,0,0,0,0,1.44318322591376,5.46950340270996,-1.55545890331268
"NK cells",0,0,2.37547280874254,0,0,0,0,0,0,0,4.68506278858779,4.68506278858779,10.2912306785583,1.02357697486877
"B cells",2.13172802768184,0,0,0,0,0,0,0,0,0,0,0,2.83903837203979,-9.0515270233154
"NK cells",0,0,0,0,1.8467254912217,0,0,0,2.45771157603045,0,4.0898228758783,4.68009736334515,10.608363866806,1.37261080741882
"CD4 T cells",0,0,1.69714008955371,1.69714008955371,1.69714008955371,0,0,0,0,0,0,0,4.05987167358398,-1.60245549678802
"CD4 T cells",0,0,1.62301497568811,0,2.58059893474985,0,1.62301497568811,1.62301497568811,0,0,1.62301497568811,0,6.30081009864807,0.408446043729782
"CD4 T cells",1.72994988421238,0,1.72994988421238,2.97356257781893,2.33027248109574,0,0,0,1.72994988421238,0,0,0,3.20949649810791,0.697156012058258
"CD4 T cells",0,0,0,1.47772199822313,2.41133633536739,0,0,0,0,0,0,0,4.99463438987732,-1.06418263912201
"Dendritic cells",0,1.25995207206784,5.3256671994796,0,0,0,2.14893933617676,4.30719967839428,0,0,0,0,-2.647705078125,-0.394690543413162
"CD4 T cells",0,0,1.9871325190228,1.9871325190228,2.23994154404088,0,0,0,0,0,0,2.23994154404088,6.32212293148041,-0.578713238239288
"CD14+ Monocytes",0,3.14369308327656,5.6680224331319,1.54718474632406,0,0,0,3.96604039674313,0,0,0,0,-3.0440874099731,1.81897878646851
"CD4 T cells",0,0,1.76117604585597,2.73811575681904,0,1.76117604585597,0,0,0,0,0,0,4.82215905189514,1.25600337982178
"CD4 T cells",0,0,1.70815189712004,0,1.70815189712004,0,0,1.70815189712004,1.70815189712004,0,0,0,5.73467743396759,-0.500833570957184
"CD14+ Monocytes",2.01685551058656,2.64114913746691,4.65619145640979,0,0,0,0,3.5137308074496,0,2.01685551058656,2.01685551058656,0,-2.1851873397827,3.55122852325439
"CD8 T cells",0,0,2.19014490174816,0,1.60306846414862,1.60306846414862,0,0,1.60306846414862,0,3.48878178667972,4.85190624829349,8.59335517883301,1.90844619274139
"CD14+ Monocytes",0,2.24432799250348,5.65230371209416,0,0,0,0,4.30535217040714,1.33798552613093,0,0,0,-2.2514419555664,1.6353542804718
"CD4 T cells",0,0,3.03034785596333,2.38436936776056,0,0,0,0,0,0,2.38436936776056,0,4.26736688613892,1.77663946151733
"CD4 T cells",0,0,0,2.24709742362055,2.88594384543757,0,0,0,0,0,0,0,4.93388390541077,-1.30139625072479
"CD14+ Monocytes",0,1.82720448804516,5.76583518833644,0,0,0,0,3.47503331443184,1.82720448804516,0,0,0,-2.25244140625,1.5769579410553
"CD4 T cells",0,0,0,2.8499342352407,2.21302382877469,0,0,0,0,0,0,0,4.29980754852295,-0.636727035045624
"CD4 T cells",0,0,1.7859498421316,3.03788010177712,2.39155582030483,0,0,0,0,0,0,0,5.44794011116028,1.59719634056091
"NK cells",0,0,0,0,2.80286733634645,0,0,0,3.18791340439797,0,6.19234981711092,4.36258045042837,9.71072244644165,1.46220469474792
"CD8 T cells",0,0,0,0,2.38660847126374,2.38660847126374,0,2.38660847126374,0,0,3.03269497873618,4.55205587132624,8.7641407251358,1.99333453178406
"CD4 T cells",0,0,1.93806563406736,2.29434673226866,2.55649886168834,0,0,1.37943378238381,0,0,1.37943378238381,0,4.64241886138916,-2.10075712203979
"CD14+ Monocytes",1.34277466391253,1.34277466391253,5.62872183374586,0,0,0,0,3.63192575316487,0,1.34277466391253,0,0,-1.6593675613403,2.2033998966217
"FCGR3A+ Monocytes",0,0,3.40155511671965,0,0,0,0,4.4777026783908,3.18670741225645,0,0,2.27245780891882,-5.1263837814331,2.13979506492615
"CD4 T cells",1.76718820849755,0,1.76718820849755,0,0,0,0,0,0,0,0,0,3.32721042633057,2.62663435935974
"CD4 T cells",0,0,0,2.7499141123751,2.11873968172633,0,0,0,0,0,0,1.5390845677113,3.97304749488831,-1.57122731208801
"CD4 T cells",0,0,0,1.45515581792763,3.03066045531386,2.0242329918707,0,0,0,0,0,0,1.90715217590332,0.868710935115814
"CD4 T cells",0,0,0,0,1.80309888769423,0,0,0,0,0,0,1.80309888769423,4.03364682197571,0.795646488666534
"Megakaryocytes",0,0,3.51901276355263,0,0,0,0,4.01791613031619,0,6.15365208982549,0,0,-5.5468921661377,6.8760461807251
"CD14+ Monocytes",0,2.06823523928699,5.63796109153432,0,0,0,0,4.29815476104783,0,0,1.49412245867914,1.49412245867914,-1.7910995483398,2.11991930007935
"NK cells",0,0,0,0,1.83689930522053,0,0,0,0,0,5.27939271783194,4.50766498675309,10.1626236438751,1.46841371059418
"CD4 T cells",0,0,0,0,1.89409452062965,0,0,0,0,0,0,0,7.14707508683205,0.83146995306015
"CD14+ Monocytes",0,0,5.08116347586155,0,0,0,0,4.36382391443447,0,0,0,1.76598168249413,-2.8215417861938,2.6793224811554
"FCGR3A+ Monocytes",0,0,2.79130122258114,0,0,0,0,2.79130122258114,3.56755870292733,0,0,0,-6.3102388381958,1.94226670265198
"CD14+ Monocytes",0,0,4.97245651876413,1.46659353165901,0,0,0,3.32054965976437,0,0,3.53644037967777,3.62910006934879,-2.5589933395386,1.62012577056885
"CD4 T cells",0,0,0,1.40534255609059,3.35662906218228,0,0,0,0,0,0,0,5.76704740524292,-1.47531342506409
"CD4 T cells",0,0,0,0,1.91847658751164,0,0,0,0,0,0,0,6.13600540161133,1.37943756580353
"CD4 T cells",0,0,0,2.64478693653227,2.02025167330389,0,0,0,0,0,0,0,4.90804743766785,1.21331179141998
"CD4 T cells",1.66131124334609,0,1.66131124334609,2.25469895692811,2.89396786284092,0,0,0,0,0,0,0,3.02178478240967,1.19994044303894
"CD4 T cells",0,0,2.10059485475528,2.10059485475528,1.52290231780583,0,0,0,0,0,0,0,3.83541178703308,0.334901958703995
"CD4 T cells",0,0,1.6802341060118,0,1.6802341060118,0,0,1.6802341060118,0,0,0,0,4.76182317733765,-0.40672966837883
"CD4 T cells",0,0,0,1.69604849673951,2.29301136085359,0,0,0,0,0,1.69604849673951,0,2.30757236480713,0.648747384548187
"CD4 T cells",0,0,1.45088903063211,1.45088903063211,2.01940121907183,1.45088903063211,0,0,0,0,0,0,2.73334884643555,0.945131599903107
"FCGR3A+ Monocytes",0,0,3.05570198400812,0,1.47537638654094,0,0,4.17563179285955,2.40856936011557,0,0,1.47537638654094,-5.4323568344116,1.54790365695953
"CD14+ Monocytes",0,2.59062182185687,4.9179254729726,0,0,0,0,4.03461726029295,0,0,0,0,-1.6628293991089,2.99468278884888
"CD4 T cells",0,0,0,2.60616891795693,2.87522438707956,0,0,0,0,0,0,0,4.43146157264709,0.0952466875314713
"FCGR3A+ Monocytes",0,0,2.72921044220015,0,0,0,0,4.22701292569738,3.63296701447178,0,1.11377229747066,2.4185115235193,-6.410514831543,1.74782168865204
"B cells",2.85725284857404,0,0,0,0,0,0,0,0,0,0,0,3.49461126327515,-8.3484153747559
"B cells",3.21619173129467,0,2.56236863158298,0,0,0,0,0,0,0,0,0,3.21997594833374,-8.8365440368652
"B cells",0,0,2.66011073881309,0,0,0,0,2.66011073881309,0,0,0,0,2.11041688919067,-7.7453699111938
"Dendritic cells",0,1.03656137118465,5.0707700279776,0,0,0,2.74444903630255,4.22422726376402,1.03656137118465,0,0,0,-2.7548427581787,-0.259936690330505
"CD4 T cells",0,0,1.58155171601472,2.16619136135574,2.16619136135574,1.58155171601472,0,0,0,0,0,1.58155171601472,4.85455870628357,1.53199779987335
"CD4 T cells",0,0,0,3.44078598747238,2.26507547442707,0,0,2.26507547442707,0,0,0,0,4.45278239250183,-0.325713217258453
"FCGR3A+ Monocytes",0,0,3.68268184925834,1.0157717458978,0,0,0,4.44912086970791,2.28314421107569,0,0,0,-6.1222066879272,1.50320672988892
"CD4 T cells",0,0,1.63122916416941,2.59005135917736,0,0,0,0,0,0,0,0,4.61144256591797,-1.90360462665558
"CD4 T cells",0,0,1.62661684555831,2.21629419050887,2.21629419050887,0,0,0,0,0,0,0,4.51225686073303,-0.498123735189438
"CD4 T cells",0,0,2.44127489383508,1.83159513585076,1.83159513585076,0,0,1.83159513585076,0,0,0,0,5.29927110671997,-0.40261098742485
"CD8 T cells",0,0,0,2.6650719917609,2.93520234422378,0,0,0,0,0,5.41082606972133,4.45050541087547,9.76645255088806,1.42380774021149
"FCGR3A+ Monocytes",0,0,2.10807772878078,0,0,1.22694698097595,0,3.67814216952803,2.56909474795626,0,0,0,-6.0090713500977,1.07796001434326
"CD4 T cells",0,0,1.62924857899404,2.21921239714788,2.58777328339773,0,0,1.62924857899404,0,0,0,0,5.77287554740906,-1.07148611545563
"FCGR3A+ Monocytes",0,0,3.55904672250949,0,0,0,0,3.64368311915371,1.41164513474138,0,0,0,-5.3854455947876,1.53733730316162
"CD4 T cells",0,0,0,0,0,0,0,0,0,0,0,0,2.30804443359375,1.31245076656342
"CD14+ Monocytes",0,0,4.19831066351299,0,0,0,0,3.30430124543998,0,0,0,0,-1.8026189804077,4.39246845245361
"CD4 T cells",0,0,1.64492126702618,2.23657391612477,0,0,0,2.23657391612477,0,0,0,0,3.47164726257324,-1.39523363113403
"B cells",2.6245696606237,0,1.66131124334609,0,0,0,0,0,0,0,0,0,3.56537818908691,-9.2048969268799
"CD8 T cells",0,0,2.33827032138668,0,2.33827032138668,0,0,0,2.33827032138668,0,0,3.8673703374201,9.16572117805481,1.53855657577515
"CD4 T cells",0,0,0,2.84534274510819,0,0,0,0,0,0,0,0,3.98840475082397,1.36954855918884
"CD14+ Monocytes",0,0,4.40079070700804,0,0,0,0,3.61716549251262,0,0,0,0,-2.3651914596558,2.65509295463562
"CD4 T cells",0,0,1.6398796706598,1.6398796706598,2.2309922512421,0,0,1.6398796706598,0,0,0,0,1.83598327636719,0.543387889862061
"CD4 T cells",0,1.79677704122003,0,0,0,0,0,0,0,0,0,0,5.08416032791138,1.63594579696655
"CD14+ Monocytes",0,0,4.56095239281674,0,0,0,0,2.5521227959038,0,0,0,0,-1.8475637435913,4.03523874282837
"CD4 T cells",0,0,0,0,2.93943188320704,2.66922809545352,0,1.70042526017336,0,0,0,0,1.68905448913574,0.853530168533325
"CD4 T cells",1.19711012321423,0,1.72652240883088,1.72652240883088,2.69888945370167,1.19711012321423,0,0,0,0,0,0,4.56830954551697,-0.622225522994995
"CD14+ Monocytes",0,2.19108524282271,5.30960930417631,0,0,0,0,3.70683174979767,0,0,0,0,-2.9586868286133,1.25264930725098
"CD14+ Monocytes",0,0,4.6950207986302,0,0,0,0,4.23048659114213,0,0,0,0,-2.0258283615112,4.43836212158203
"CD4 T cells",0,0,1.79593833030302,1.79593833030302,2.77728871522503,0,0,0,0,0,0,1.79593833030302,3.10351657867432,1.34770035743713
"CD4 T cells",0,0,0,2.64256202421598,0,0,0,0,0,0,0,0,4.34678411483765,-0.91104531288147
"FCGR3A+ Monocytes",0,0,4.07005746477224,1.16747231980682,0,0,0,3.81280304493967,2.49066452296325,0,0,0,-4.8676519393921,1.22682857513428
"CD14+ Monocytes",0,2.39910827634351,4.6489123452508,0,0,0,0,4.39576691664474,0,0,0,0,-3.2872362136841,1.41835451126099
"CD8 T cells",0,0,0,0,0,2.94424952542416,0,0,0,0,0,4.290262200868,8.94246876239777,2.11852765083313
"CD14+ Monocytes",0,2.61629957005358,4.945455740668,0,0,0,0,4.49752847041811,0,0,0,0,-3.9720020294189,2.03365564346313
"CD4 T cells",0,1.78388639163995,1.78388639163995,2.38930337767195,2.76372713726924,2.76372713726924,0,1.78388639163995,0,0,0,2.38930337767195,6.30093085765839,0.52131575345993
"CD14+ Monocytes",0,0,5.45228817850599,0,0,0,0,4.01616855905688,0,0,1.35268449084121,0,-3.2931413650513,0.662992656230927
"CD4 T cells",0,0,2.46146266167796,0,0,0,0,0,1.52038403247398,0,0,0,2.46609592437744,1.7758024930954
"B cells",3.21753280238655,0,0,0,0,0,0,0,0,0,0,0,2.61135387420654,-8.2973051071167
"B cells",2.15870322381245,0,0,0,0,0,0,0,0,0,0,0,3.66613364219666,-8.4560222625732
"FCGR3A+ Monocytes",0,0,2.82795832328288,0,0,0,0,2.97362548217404,3.31484632999107,0,0,0,-6.3095865249634,1.77465629577637
"CD8 T cells",0,0,2.79201969233477,1.80904999402427,3.06425881206054,1.80904999402427,0,0,1.80904999402427,0,3.45403873701122,4.58484766859544,9.50596952438354,1.78472340106964
"CD4 T cells",0,0,2.00037377672662,2.00037377672662,2.35969556704636,1.43411005926523,0,0,0,0,0,0,1.73178911209106,0.409652918577194
"CD8 T cells",0,0,0,1.93501827827463,0,0,0,0,0,0,0,2.5532147160226,6.48394787311554,1.17711973190308
"CD4 T cells",0,0,1.83778711951792,0,1.83778711951792,0,0,0,0,0,0,0,5.68037581443787,-1.65683162212372
"B cells",1.85078388857223,0,0,0,0,0,0,0,0,0,0,0,1.7615761756897,-8.4077405929565
"NK cells",0,0,0,0,0,0,0,0,3.56427171245163,0,4.54475387580661,4.85554735600755,10.7422409057617,1.09207665920258
"B cells",2.27402056526025,0,0,0,0,0,0,0,0,0,0,0,2.5253701210022,-9.4051942825317
"CD14+ Monocytes",0,2.534304649529,5.16544242038371,0,1.9174857665439,0,0,3.72874451965263,0,0,0,0,-2.3981828689575,2.77267479896545
"CD14+ Monocytes",0,0,4.29560177278738,0,0,0,0,3.89692773708315,0,0,0,0,-2.1326961517334,4.5058445930481
"CD14+ Monocytes",0,2.66176134654533,5.58885725209206,0,0,0,0,4.3371398105794,0,0,0,0,-2.3563823699951,2.08738207817078
"CD4 T cells",0,0,1.5293831535913,1.5293831535913,2.73834116112488,0,0,0,0,0,0,0,3.22811317443848,-1.57356858253479
"CD8 T cells",0,0,1.8444805688076,0,1.8444805688076,0,0,0,1.8444805688076,0,4.81600399049732,4.08720161109187,9.16428220272064,1.99635052680969
"CD4 T cells",0,0,1.93400524654899,0,2.5521227959038,0,0,0,0,0,0,0,3.27091646194458,0.822486519813538
"CD4 T cells",0,0,0,1.45717390144193,2.02651735011104,0,0,0,0,0,0,0,4.67283177375793,0.22569315135479
"CD4 T cells",0,0,1.56939221091629,1.56939221091629,2.78593122709531,0,0,0,0,0,0,0,4.53332114219666,0.282016456127167
"NK cells",1.53564386274411,0,1.53564386274411,1.53564386274411,2.74581212479183,0,0,0,0,0,5.17006978257438,5.58737968136221,9.96304368972778,1.05089557170868
"CD8 T cells",0,0,0,0,1.85942656011826,1.85942656011826,0,0,0,0,0,4.41038098622633,9.11622655391693,2.05580854415894
"CD4 T cells",0,0,0,2.8415345116391,2.57311115383595,0,0,1.61651531048164,0,0,0,0,3.97080850601196,-0.0428841039538383
"CD4 T cells",0,0,2.36930147343163,0,0,0,0,0,0,0,0,0,3.45791816711426,2.75193619728088
"CD14+ Monocytes",0,1.9441978198698,4.36747516593959,0,0,0,0,4.60319218312542,0,0,0,1.38479623349887,-3.8827657699585,2.35309410095215
"FCGR3A+ Monocytes",0,0,3.88168622843368,0,0,0,0,4.10069804939037,2.55540274557796,0,0,1.93704846870536,-5.4296293258667,2.33820390701294
"CD4 T cells",0,0,0,1.64122042207886,2.60153305435011,2.60153305435011,0,1.64122042207886,0,0,0,0,2.65361213684082,1.20109701156616
"CD8 T cells",0,0,2.63451923430677,0,2.63451923430677,0,0,2.01066810647351,0,0,0,0,6.78648042678833,0.664600431919098
"CD4 T cells",0,0,0,2.17363568618664,2.43246466874249,1.28002457736019,0,0,0,0,1.28002457736019,1.82349329034377,6.44807660579681,0.326361566781998
"CD4 T cells",0,0,0,0,2.60616891795693,1.98424114254952,0,0,0,0,0,0,3.25452947616577,1.8459689617157
"CD4 T cells",0,0,2.4567357728213,1.84582669049833,0,0,0,0,1.84582669049833,0,0,0,2.47082710266113,1.26068830490112
"B cells",0,0,0,0,1.78471105495709,0,0,0,1.78471105495709,0,0,2.76465575276433,3.0219259262085,-8.3451156616211
"CD4 T cells",0,0,0,2.71465505928955,2.08563487182274,0,0,0,0,0,0,0,4.28328442573547,-0.907691717147827
"CD4 T cells",0,0,1.4102388977041,1.97322900629656,2.33125049684836,1.4102388977041,0,0,1.4102388977041,0,0,1.97322900629656,5.96144127845764,-0.163862615823746
"CD14+ Monocytes",0,2.35882780460746,5.44191999997996,0,0,0,0,4.4117993038631,1.75600655495005,3.21672792591417,1.75600655495005,0,-2.0013437271118,2.74653697013855
"CD8 T cells",0,0,2.08810836524805,2.08810836524805,2.45138897878499,0,0,0,0,0,1.51178494094777,1.51178494094777,6.74951171875,-0.36262184381485
"FCGR3A+ Monocytes",1.67952384541575,0,2.91517314401779,0,0,0,0,4.12845648540786,3.12741859684712,0,0,0,-5.6159601211548,1.99012744426727
"CD4 T cells",1.59269054257672,0,0,2.17859895653462,2.17859895653462,0,0,0,0,0,0,0,3.52133703231812,0.746878981590271
"CD14+ Monocytes",0,2.03254634709006,5.88390426714144,0,0,0,0,3.70870646897734,0,0,0,0,-2.7434597015381,1.98650097846985
"CD8 T cells",0,0,0,0,0,0,0,0,0,0,0,4.33851812433225,8.80119037628174,1.40019607543945
"CD4 T cells",0,0,1.47641779932178,1.47641779932178,2.4097979952674,0,0,0,0,0,0,0,4.23881196975708,-0.836516380310059
"CD4 T cells",0,0,0,2.58361241859346,0,0,0,0,0,0,0,0,2.58788728713989,0.951620638370514
"CD4 T cells",0,0,0,1.69133812362699,1.69133812362699,0,0,2.28782418372261,0,0,0,0,2.96217155456543,0.662477672100067
"NK cells",0,0,2.30470283096082,0,1.70667349378775,0,0,0,0,0,5.09608854910852,2.30470283096082,9.05489385128021,0.014862198382616
"CD4 T cells",0,0,0,0,0,0,0,2.93520234422378,0,0,0,3.60143045099591,4.80949378013611,2.4741837978363
"CD4 T cells",0,0,2.0727764476327,2.0727764476327,1.49815506628049,0,0,0,0,0,0,1.49815506628049,5.80013740062714,-0.938843250274658
"CD8 T cells",0,0,1.58216563210548,2.1668756163322,2.80105013918008,0,0,0,0,0,2.53341453263154,4.69348756457301,8.4691309928894,1.50400233268738
"CD4 T cells",0,0,0,0,2.63331922965075,0,0,1.44219588434135,0,0,0,0,3.40629959106445,1.22353029251099
"CD4 T cells",0,0,2.07754801551507,0,2.07754801551507,0,0,0,0,0,0,2.33342024842778,5.26440715789795,-2.37040019035339
"CD8 T cells",0,0,0,0,1.88408902089424,1.88408902089424,0,0,0,0,0,4.21898235712095,8.20824950933456,1.98258233070374
"CD8 T cells",0,1.66686356814862,0,0,2.26083196636483,0,0,0,0,0,2.63092419790698,4.18102656080309,9.62434124946594,1.90122282505035
"B cells",0,0,0,0,0,0,0,0,0,0,0,1.95141601292984,1.84100723266602,-8.7362957000732
"CD4 T cells",0,0,1.54428018710154,2.96645751350365,2.12455791305678,0,0,2.12455791305678,0,0,0,0,2.86889982223511,0.206821948289871
"CD8 T cells",0,0,0,0,1.7022571258035,1.7022571258035,0,0,0,0,0,4.76766511340329,8.30424165725708,1.72583103179932
